core-keeper-dedicated
date,stream,content
2026/04/13 11:07:26,stdout,[Physics::Module] Id: 0xdecafbad

2026/04/13 11:07:26,stdout,[Physics::Module] Initialized fallback backend.

2026/04/13 11:07:26,stdout,Display 0 'screen': 1x1 (primary device).

2026/04/13 11:07:26,stdout,Input System module state changed to: Initialized.

2026/04/13 11:07:26,stdout,JobSystem: Clamping job-worker-count value 4 to 3

2026/04/13 11:07:26,stdout,JobSystem: Invalid job-worker-count value 4 must be between 0->3

2026/04/13 11:07:25,stdout,Mono config path = '/home/steam/core-keeper-dedicated/CoreKeeperServer_Data/MonoBleedingEdge/etc'

2026/04/13 11:07:25,stdout,Mono path[0] = '/home/steam/core-keeper-dedicated/CoreKeeperServer_Data/Managed'

2026/04/13 11:07:25,stdout,The selected window backend is x11 

2026/04/13 11:07:25,stdout,    "memorysetup-temp-allocator-size-gfx=262144"

2026/04/13 11:07:25,stdout,    "memorysetup-temp-allocator-size-cloud-worker=32768"

2026/04/13 11:07:25,stdout,    "memorysetup-temp-allocator-size-audio-worker=65536"

2026/04/13 11:07:25,stdout,    "memorysetup-temp-allocator-size-nav-mesh-worker=65536"

2026/04/13 11:07:25,stdout,    "memorysetup-temp-allocator-size-preload-manager=262144"

2026/04/13 11:07:25,stdout,    "memorysetup-temp-allocator-size-job-worker=262144"

2026/04/13 11:07:25,stdout,    "memorysetup-temp-allocator-size-background-worker=32768"

2026/04/13 11:07:25,stdout,    "memorysetup-allocator-temp-initial-block-size-worker=262144"

2026/04/13 11:07:25,stdout,    "memorysetup-allocator-temp-initial-block-size-main=262144"

2026/04/13 11:07:25,stdout,    "memorysetup-job-temp-allocator-reduction-small-platforms=262144"

2026/04/13 11:07:25,stdout,    "memorysetup-job-temp-allocator-block-size-background=1048576"

2026/04/13 11:07:25,stdout,    "memorysetup-job-temp-allocator-block-size=2097152"

2026/04/13 11:07:25,stdout,    "memorysetup-temp-allocator-size-main=4194304"

2026/04/13 11:07:25,stdout,    "memorysetup-profiler-editor-allocator-block-size=1048576"

2026/04/13 11:07:25,stdout,    "memorysetup-profiler-allocator-block-size=16777216"

2026/04/13 11:07:25,stdout,    "memorysetup-profiler-bucket-allocator-block-count=1"

2026/04/13 11:07:25,stdout,    "memorysetup-profiler-bucket-allocator-block-size=4194304"

2026/04/13 11:07:25,stdout,    "memorysetup-profiler-bucket-allocator-bucket-count=8"

2026/04/13 11:07:25,stdout,    "memorysetup-profiler-bucket-allocator-granularity=16"

2026/04/13 11:07:25,stdout,    "memorysetup-typetree-allocator-block-size=2097152"

2026/04/13 11:07:25,stdout,    "memorysetup-cache-allocator-block-size=4194304"

2026/04/13 11:07:25,stdout,    "memorysetup-gfx-thread-allocator-block-size=16777216"

2026/04/13 11:07:25,stdout,    "memorysetup-gfx-main-allocator-block-size=16777216"

2026/04/13 11:07:25,stdout,    "memorysetup-thread-allocator-block-size=16777216"

2026/04/13 11:07:25,stdout,    "memorysetup-main-allocator-block-size=16777216"

2026/04/13 11:07:25,stdout,    "memorysetup-bucket-allocator-block-count=1"

2026/04/13 11:07:25,stdout,    "memorysetup-bucket-allocator-block-size=4194304"

2026/04/13 11:07:25,stdout,    "memorysetup-bucket-allocator-bucket-count=8"

2026/04/13 11:07:25,stdout,    "memorysetup-bucket-allocator-granularity=16"

2026/04/13 11:07:25,stdout,[UnityMemory] Configuration Parameters - Can be set up in boot.config

2026/04/13 11:07:25,stdout,-batchmode -logfile /home/steam/core-keeper-dedicated/logs/2026-04-13_09-07-25.log -world 0 -worldname Yggdrasil -worldmode 0 -gameid rBhHrvTfq5Pggnv -datapath /home/steam/core-keeper-data -maxplayers 4 -password 12Ygg34!#

2026/04/13 11:07:25,stdout,"[0m[0;37mMODS_ENABLED is not true, skipping mod installation[0m
"
2026/04/13 11:07:25,stdout,[0mUnloading Steam API...[0mOK

2026/04/13 11:07:24,stdout,[0mError! App '1963720' state is 0x6 after update job.

2026/04/13 11:07:24,stdout,"[0m Update state (0x0) unknown, progress: 0.00 (0 / 0)
"
2026/04/13 11:07:22,stdout,[0mSuccess! App '1007' fully installed.

2026/04/13 11:07:22,stdout,"[0m Update state (0x0) unknown, progress: 0.00 (0 / 0)
"
2026/04/13 11:07:19,stdout,[0mWaiting for user info...[0mOK

2026/04/13 11:07:19,stdout,[0mWaiting for client config...[0mOK

2026/04/13 11:07:19,stdout,Connecting anonymously to Steam Public...[0mOK

2026/04/13 11:07:18,stdout,[0m

2026/04/13 11:07:18,stdout,[0m"@sSteamCmdForcePlatformBitness" = "64"

2026/04/13 11:07:18,stdout,[0m"@sSteamCmdForcePlatformType" = "linux"

2026/04/13 11:07:17,stdout,Loading Steam API...[0mOK

2026/04/13 11:07:17,stdout,-- type 'quit' to exit --

2026/04/13 11:07:17,stdout,Steam Console Client (c) Valve Corporation - version 1773426366

2026/04/13 11:07:17,stdout,UpdateUI: skip show logo

2026/04/13 11:07:17,stdout,[----] Verifying installation...

2026/04/13 11:07:17,stdout,[  0%] Checking for available updates...

2026/04/13 11:07:17,stdout,Logging directory: '/home/steam/Steam/logs'

2026/04/13 11:07:17,stdout,Redirecting stderr to '/home/steam/Steam/logs/stderr.txt'

2026/04/13 11:07:16,stdout,usermod: no changes

